iter	Logloss
0	0.6847186337
1	0.6778651493
2	0.6703064253
3	0.6627920296
4	0.6550134676
5	0.6479238571
6	0.640044859
7	0.6344426539
8	0.6285813245
9	0.6223011598
10	0.6167400879
11	0.6098328449
12	0.6038094784
13	0.5989660813
14	0.5927195662
15	0.5872899783
16	0.5806742053
17	0.57462039
18	0.5691527593
19	0.565254824
20	0.5601879778
21	0.555074154
22	0.5497264377
23	0.5444961694
24	0.5393054987
25	0.5349959404
26	0.5296095634
27	0.5250150667
28	0.5210424972
29	0.5158210503
30	0.5106087003
31	0.5080064919
32	0.5035858615
33	0.5010916908
34	0.4969247433
35	0.4915945027
36	0.4872282832
37	0.4830065275
38	0.4796723281
39	0.4759358142
40	0.4710631731
41	0.4671116202
42	0.4636093439
43	0.4598854808
44	0.4562042034
45	0.4527427401
46	0.4502554908
47	0.4466464468
48	0.443611288
49	0.4399334958
50	0.4361144798
51	0.433358766
52	0.4301318425
53	0.4267883364
54	0.4235716883
55	0.4216430285
56	0.418364004
57	0.4155192346
58	0.4124979584
59	0.4099230503
60	0.4068745661
61	0.404134524
62	0.4010633311
63	0.3977778839
64	0.3953743897
65	0.3933551587
66	0.3909218158
67	0.3882372426
68	0.3855240493
69	0.383145123
70	0.3808267091
71	0.3786284739
72	0.375885721
73	0.3737867067
74	0.3714691837
75	0.3693848027
76	0.367181757
77	0.3650715409
78	0.3629589295
79	0.3609122709
80	0.3587977137
81	0.3573795639
82	0.3552445368
83	0.3532425559
84	0.3517047359
85	0.3494760365
86	0.3476478702
87	0.3453986856
88	0.3444796242
89	0.3436174989
90	0.3411769472
91	0.3396364362
92	0.3378241382
93	0.3361861681
94	0.3345697443
95	0.3323263219
96	0.3310436322
97	0.3294900678
98	0.328188226
99	0.3262005072
100	0.3256025478
101	0.3242465973
102	0.322625619
103	0.3208667361
104	0.3194249989
105	0.3179745847
106	0.316725889
107	0.3153280542
108	0.3138852806
109	0.3129716943
110	0.3118943423
111	0.3105209335
112	0.3093390464
113	0.3081626305
114	0.3068854593
115	0.3055660161
116	0.3044808803
117	0.3030742105
118	0.3019990029
119	0.3009293616
120	0.300154732
121	0.2987435274
122	0.2975093592
123	0.2960517111
124	0.2947759571
125	0.2938002491
126	0.2928644808
127	0.2916641482
128	0.2906078551
129	0.2895229228
130	0.2884063927
131	0.2875282925
132	0.2862375636
133	0.2852285758
134	0.2843206142
135	0.2832304852
136	0.2821182821
137	0.2809508508
138	0.280197411
139	0.2790706955
140	0.2784364879
141	0.2776957335
142	0.2766624685
143	0.2756569665
144	0.2747516996
145	0.273648938
146	0.2728401963
147	0.2720915021
148	0.2712930786
149	0.2706798455
150	0.2698157733
151	0.2690775043
152	0.2682253806
153	0.2675526541
154	0.2669337982
155	0.2664968451
156	0.265968377
157	0.2654321171
158	0.2648422002
159	0.2637908976
160	0.2636730082
161	0.2626808798
162	0.261537771
163	0.2608097729
164	0.2601174572
165	0.2591230201
166	0.2585297791
167	0.2578211107
168	0.2572742941
169	0.2564885541
170	0.2561003117
171	0.2554630896
172	0.2549386585
173	0.2542626864
174	0.2536201491
175	0.25304022
176	0.2524315068
177	0.2515725618
178	0.2510400592
179	0.2504578886
180	0.2497474859
181	0.2490725955
182	0.2484130456
183	0.2477871256
184	0.2471755886
185	0.2462384186
186	0.2457405966
187	0.2452470592
188	0.244649213
189	0.2438620344
190	0.2435091914
191	0.242986608
192	0.2423668608
193	0.2418729401
194	0.2412337257
195	0.2407506295
196	0.2401632522
197	0.2394553095
198	0.2390169449
199	0.2383458284
200	0.2380336232
201	0.2375930583
202	0.2369209793
203	0.2365621593
204	0.2362032012
205	0.2356954883
206	0.2350205427
207	0.2346914493
208	0.2342930928
209	0.2338386767
210	0.2332019861
211	0.232683794
212	0.2322607338
213	0.2317041538
214	0.2311355265
215	0.2303720885
216	0.2299454148
217	0.2294939757
218	0.2291821764
219	0.2287647581
220	0.2283730945
221	0.2280077136
222	0.2275184013
223	0.2270058659
224	0.2264133264
225	0.2261633017
226	0.2256685767
227	0.225058389
228	0.224724456
229	0.2240861463
230	0.2236422398
231	0.2233213897
232	0.2228907848
233	0.2225685791
234	0.2222527799
235	0.221874477
236	0.2214979279
237	0.2211427821
238	0.2207724562
239	0.2205218473
240	0.2200812117
241	0.2195888066
242	0.2195157805
243	0.2191700322
244	0.2189247365
245	0.2184184018
246	0.218161572
247	0.2177398327
248	0.2173414088
249	0.2169130809
250	0.2164725398
251	0.2160700249
252	0.2155992805
253	0.2150596098
254	0.2143769818
255	0.2140304704
256	0.2135029502
257	0.2129992323
258	0.2125390119
259	0.2120099257
260	0.2115754016
261	0.2110433358
262	0.2106038072
263	0.2102906608
264	0.2100414672
265	0.2097474647
266	0.2094269031
267	0.2090822536
268	0.2084833963
269	0.2081113135
270	0.2079347436
271	0.207716944
272	0.2074303047
273	0.2068459334
274	0.2065135861
275	0.2061771435
276	0.2060359249
277	0.2057848386
278	0.2054649169
279	0.2050814495
280	0.2046243865
281	0.2043208231
282	0.2040295062
283	0.2035819903
284	0.2032097621
285	0.2027719496
286	0.202234161
287	0.2020563412
288	0.2017966049
289	0.2013626184
290	0.2011103795
291	0.2007483153
292	0.2003507897
293	0.2000741887
294	0.1996054909
295	0.1992616301
296	0.1990225759
297	0.1987533949
298	0.1985047007
299	0.1979668137
300	0.1977571559
301	0.1975649332
302	0.1973665565
303	0.1971340982
304	0.1969684492
305	0.1966962572
306	0.1963414576
307	0.1960509692
308	0.1956497313
309	0.1954617719
310	0.1951216496
311	0.1948869364
312	0.1945802355
313	0.1943069398
314	0.1940084347
315	0.1936060921
316	0.1932006789
317	0.1931636087
318	0.1928906745
319	0.1927140848
320	0.192523747
321	0.1923434304
322	0.1919996045
323	0.191691021
324	0.1913610732
325	0.1909944466
326	0.1905314806
327	0.1903490301
328	0.1899880477
329	0.1897593477
330	0.1894784935
331	0.1892998403
332	0.1890585521
333	0.1886778058
334	0.1884130598
335	0.1880049799
336	0.1877326403
337	0.1875586196
338	0.1873326505
339	0.1870740704
340	0.1866592524
341	0.1863976789
342	0.1861766873
343	0.1859759401
344	0.185614078
345	0.1853023403
346	0.1851410877
347	0.1848852617
348	0.1847832959
349	0.1844554988
350	0.1842009637
351	0.1839327029
352	0.1836875762
353	0.1833437129
354	0.182870635
355	0.1825849616
356	0.1821840439
357	0.1820946188
358	0.1818664593
359	0.1816268415
360	0.1814020504
361	0.1809826903
362	0.1808842324
363	0.1805821518
364	0.1803389414
365	0.1802122858
366	0.1800290976
367	0.1799607599
368	0.1798057919
369	0.1796073253
370	0.1793385612
371	0.179023734
372	0.1787237493
373	0.1785510017
374	0.1783482451
375	0.1781365036
376	0.1779292539
377	0.177628697
378	0.1774045882
379	0.1771620619
380	0.177125201
381	0.1768080112
382	0.1765917602
383	0.1761727847
384	0.1759123281
385	0.1756976102
386	0.1755461447
387	0.175305227
388	0.1749492287
389	0.1748026348
390	0.1745553152
391	0.1743575069
392	0.1741862404
393	0.1738546026
394	0.1734854561
395	0.1731763053
396	0.1729883093
397	0.1728994139
398	0.172684144
399	0.1724762046
400	0.1723706887
401	0.1720861912
402	0.171963072
403	0.1717888346
404	0.1715601237
405	0.1712568423
406	0.1709862947
407	0.1707496755
408	0.1705228914
409	0.170330739
410	0.1699746215
411	0.1698018185
412	0.169692048
413	0.169588416
414	0.169428757
415	0.1692234795
416	0.1689915275
417	0.1687208116
418	0.1685230046
419	0.1683008
420	0.1680451589
421	0.1679232688
422	0.167657927
423	0.1674957171
424	0.1672918085
425	0.1671661423
426	0.1669770735
427	0.166796461
428	0.1665008547
429	0.1662746697
430	0.1660743804
431	0.165681158
432	0.1654633136
433	0.1651879561
434	0.1650799534
435	0.1648361539
436	0.1647516863
437	0.1645490995
438	0.1644086198
439	0.1641525885
440	0.1639053544
441	0.1637191439
442	0.1636187627
443	0.1635012167
444	0.1632570757
445	0.1630622563
446	0.1629608366
447	0.1628685455
448	0.1626284262
449	0.1625052917
450	0.1623046423
451	0.1620492162
452	0.1618243039
453	0.1616830991
454	0.1615429576
455	0.1613718467
456	0.1610890175
457	0.1608967936
458	0.1607740677
459	0.160687231
460	0.1604903182
461	0.16023368
462	0.1600397079
463	0.1598455243
464	0.1596833388
465	0.1595546067
466	0.1593860372
467	0.1591211891
468	0.1588931983
469	0.1587793286
470	0.1585104642
471	0.1581941669
472	0.1579860391
473	0.1577579413
474	0.1575798207
475	0.1574615174
476	0.1572636279
477	0.1569886494
478	0.1568885018
479	0.1566930187
480	0.1565279668
481	0.1562799919
482	0.1560946734
483	0.1558050262
484	0.1556706357
485	0.1555354089
486	0.1554554092
487	0.1552931495
488	0.1551407331
489	0.1549619297
490	0.1547374863
491	0.1545862857
492	0.154349643
493	0.1542196921
494	0.1538373207
495	0.1536242297
496	0.1534448502
497	0.1532189193
498	0.1529830973
499	0.1528758632
500	0.1526270552
501	0.1524349215
502	0.1522152726
503	0.1519766546
504	0.1519021104
505	0.1517398514
506	0.1515714085
507	0.1513878163
508	0.1512295769
509	0.151114665
510	0.1508462338
511	0.1506430327
512	0.1502859393
513	0.150282616
514	0.1500653083
515	0.1498739506
516	0.1497636669
517	0.1495884411
518	0.1494025422
519	0.1492690726
520	0.1491189809
521	0.1488893912
522	0.1486168272
523	0.1484135876
524	0.1483291826
525	0.148138748
526	0.1479846776
527	0.1477877375
528	0.1476221468
529	0.1474133852
530	0.1472155743
531	0.1471498695
532	0.1469679051
533	0.1468182384
534	0.1466755749
535	0.1465561706
536	0.1465010581
537	0.1463503208
538	0.146209772
539	0.1461308603
540	0.1459954095
541	0.1458401201
542	0.145536925
543	0.1454355868
544	0.145377365
545	0.1452384191
546	0.1450017927
547	0.1448544031
548	0.1447226088
549	0.14443782
550	0.1442089602
551	0.1439824166
552	0.1438912704
553	0.1436412303
554	0.1435321984
555	0.1433302007
556	0.1432434065
557	0.1431455934
558	0.1430117882
559	0.1428532275
560	0.1424917655
561	0.1423784698
562	0.1421507103
563	0.1419146887
564	0.1417827445
565	0.1416019862
566	0.1414334233
567	0.1413420119
568	0.1411180694
569	0.1409354671
570	0.14080214
571	0.1404700622
572	0.1403032584
